Player,Nation,Team,Position,Cluster
Aaron Cresswell,engENG,West Ham,DF,1
Aaron Ramsdale,engENG,Southampton,GK,1
Aaron Wan-Bissaka,engENG,West Ham,DF,2
Abdoulaye Doucouré,mlMLI,Everton,MF,2
Abdukodir Khusanov,uzUZB,Manchester City,DF,1
Abdul Fatawu Issahaku,ghGHA,Leicester City,FW,1
Adam Armstrong,engENG,Southampton,"FW,MF",1
Adam Lallana,engENG,Southampton,MF,1
Adam Smith,engENG,Bournemouth,DF,1
Adam Webster,engENG,Brighton,DF,1
Adam Wharton,engENG,Crystal Palace,MF,1
Adama Traoré,esESP,Fulham,"FW,MF",0
Albert Grønbaek,dkDEN,Southampton,"FW,MF",1
Alejandro Garnacho,arARG,Manchester Utd,"MF,FW",0
Alex Iwobi,ngNGA,Fulham,"FW,MF",0
Alex McCarthy,engENG,Southampton,GK,1
Alex Palmer,engENG,Ipswich Town,GK,1
Alex Scott,engENG,Bournemouth,MF,1
Alexander Isak,seSWE,Newcastle Utd,FW,0
Alexis Mac Allister,arARG,Liverpool,MF,2
Ali Al Hamadi,iqIRQ,Ipswich Town,FW,1
Alisson,brBRA,Liverpool,GK,1
Alphonse Areola,frFRA,West Ham,GK,1
Amad Diallo,ciCIV,Manchester Utd,"FW,MF",0
Amadou Onana,beBEL,Aston Villa,MF,1
Andreas Pereira,brBRA,Fulham,MF,0
Andrew Robertson,sctSCO,Liverpool,DF,2
André,brBRA,Wolves,MF,2
André Onana,cmCMR,Manchester Utd,GK,1
Andrés García,esESP,Aston Villa,"DF,MF",1
Andy Irving,sctSCO,West Ham,MF,1
Anthony Elanga,seSWE,Nott'ham Forest,FW,0
Anthony Gordon,engENG,Newcastle Utd,FW,0
Antoine Semenyo,ghGHA,Bournemouth,FW,0
Antonee Robinson,usUSA,Fulham,DF,2
Antony,brBRA,Manchester Utd,"DF,MF",1
Antonín Kinský,czCZE,Tottenham,GK,1
Archie Gray,engENG,Tottenham,"DF,MF",1
Arijanet Muric,xkKVX,Ipswich Town,GK,1
Armando Broja,alALB,Everton,FW,1
Armel Bella Kotchap,deGER,Southampton,DF,1
Ashley Young,engENG,Everton,"DF,FW",2
Axel Disasi,frFRA,Chelsea,DF,1
Axel Tuanzebe,cdCOD,Ipswich Town,DF,1
Ayden Heaven,engENG,Manchester Utd,DF,1
Bart Verbruggen,nlNED,Brighton,GK,1
Ben Brereton,clCHI,Southampton,FW,1
Ben Chilwell,engENG,Crystal Palace,DF,1
Ben Davies,wlsWAL,Tottenham,DF,1
Ben Godfrey,engENG,Ipswich Town,DF,1
Ben Johnson,engENG,Ipswich Town,"DF,FW",1
Ben Mee,engENG,Brentford,DF,1
Ben White,engENG,Arsenal,DF,1
Benoît Badiashile,frFRA,Chelsea,DF,1
Bernardo Silva,ptPOR,Manchester City,"MF,FW",0
Bernd Leno,deGER,Fulham,GK,1
Beto,gwGNB,Everton,FW,1
Bilal El Khannouss,maMAR,Leicester City,MF,2
Billy Gilmour,sctSCO,Brighton,MF,1
Bobby De Cordova-Reid,jmJAM,Leicester City,FW,1
Boubacar Kamara,frFRA,Aston Villa,MF,1
Boubakary Soumaré,frFRA,Leicester City,MF,2
Brajan Gruda,deGER,Brighton,"FW,MF",1
Brennan Johnson,wlsWAL,Tottenham,FW,0
Bruno Fernandes,ptPOR,Manchester Utd,MF,0
Bruno Guimarães,brBRA,Newcastle Utd,MF,2
Bryan Mbeumo,cmCMR,Brentford,FW,0
Bukayo Saka,engENG,Arsenal,"FW,MF",0
Caleb Okoli,itITA,Leicester City,DF,1
Callum Hudson-Odoi,engENG,Nott'ham Forest,"FW,MF",0
Callum Wilson,engENG,Newcastle Utd,FW,1
Calvin Bassey,ngNGA,Fulham,DF,2
Cameron Archer,engENG,Southampton,FW,1
Cameron Burgess,auAUS,Ipswich Town,DF,1
Caoimhín Kelleher,ieIRL,Liverpool,GK,1
Carlos Alcaraz,arARG,Everton,"FW,MF",1
Carlos Baleba,cmCMR,Brighton,MF,2
Carlos Forbs,ptPOR,Wolves,"MF,FW",1
Carlos Soler,esESP,West Ham,"MF,FW",1
Casemiro,brBRA,Manchester Utd,MF,2
Charlie Taylor,engENG,Southampton,DF,1
Cheick Doucouré,mlMLI,Crystal Palace,MF,1
Chiedozie Ogbene,ieIRL,Ipswich Town,FW,1
Chris Richards,usUSA,Crystal Palace,DF,1
Chris Wood,nzNZL,Nott'ham Forest,FW,0
Christian Eriksen,dkDEN,Manchester Utd,MF,1
Christian Nørgaard,dkDEN,Brentford,MF,2
Christian Walton,engENG,Ipswich Town,GK,1
Christopher Nkunku,frFRA,Chelsea,FW,1
Cody Gakpo,nlNED,Liverpool,FW,0
Cole Palmer,engENG,Chelsea,MF,0
Conor Bradley,nirNIR,Liverpool,DF,1
Conor Chaplin,engENG,Ipswich Town,"MF,FW",1
Conor Coady,engENG,Leicester City,DF,1
Conor Townsend,engENG,Ipswich Town,DF,1
Craig Dawson,engENG,Wolves,DF,1
Cristian Romero,arARG,Tottenham,DF,2
Crysencio Summerville,nlNED,West Ham,"FW,MF",1
Curtis Jones,engENG,Liverpool,"MF,DF",2
Daichi Kamada,jpJPN,Crystal Palace,MF,1
Dan Burn,engENG,Newcastle Utd,DF,2
Dango Ouattara,bfBFA,Bournemouth,FW,0
Daniel Muñoz,coCOL,Crystal Palace,DF,2
Danilo,brBRA,Nott'ham Forest,"MF,FW",1
Danny Ings,engENG,West Ham,"FW,MF",1
Danny Ward,wlsWAL,Leicester City,GK,1
Danny Welbeck,engENG,Brighton,FW,0
Dara O'Shea,ieIRL,Ipswich Town,DF,2
Darwin Núñez,uyURU,Liverpool,FW,1
David Brooks,wlsWAL,Bournemouth,"FW,MF",1
David Raya,esESP,Arsenal,GK,1
Dean Henderson,engENG,Crystal Palace,GK,1
Dean Huijsen,esESP,Bournemouth,DF,2
Declan Rice,engENG,Arsenal,MF,2
Dejan Kulusevski,seSWE,Tottenham,"MF,FW",0
Destiny Udogie,itITA,Tottenham,DF,2
Diego Carlos,brBRA,Aston Villa,DF,1
Diego Gómez,pyPAR,Brighton,MF,1
Diogo Dalot,ptPOR,Manchester Utd,DF,2
Diogo Jota,ptPOR,Liverpool,FW,0
Djed Spence,engENG,Tottenham,DF,2
Dominic Calvert-Lewin,engENG,Everton,FW,0
Dominic Solanke,engENG,Tottenham,FW,0
Dominik Szoboszlai,huHUN,Liverpool,MF,0
Donyell Malen,nlNED,Aston Villa,FW,1
Dwight McNeil,engENG,Everton,"MF,FW",0
Eberechi Eze,engENG,Crystal Palace,"MF,FW",0
Eddie Nketiah,engENG,Crystal Palace,"FW,MF",1
Ederson,brBRA,Manchester City,GK,1
Edmond-Paris Maghoma,engENG,Brentford,"MF,FW",1
Edson Álvarez,mxMEX,West Ham,MF,2
Elliot Anderson,engENG,Nott'ham Forest,MF,2
Emerson Palmieri,itITA,West Ham,DF,2
Emi Buendía,arARG,Aston Villa,"MF,FW",1
Emil Krafth,seSWE,Newcastle Utd,DF,1
Emile Smith Rowe,engENG,Fulham,MF,0
Emiliano Martínez,arARG,Aston Villa,GK,1
Emmanuel Agbadou,ciCIV,Wolves,DF,1
Enes Ünal,trTUR,Bournemouth,"FW,MF",1
Enzo Fernández,arARG,Chelsea,MF,0
Erling Haaland,noNOR,Manchester City,FW,0
Ethan Nwaneri,engENG,Arsenal,"FW,MF",1
Ethan Pinnock,jmJAM,Brentford,DF,2
Evan Ferguson,ieIRL,Brighton,FW,1
Evanilson,brBRA,Bournemouth,FW,0
Ezri Konsa,engENG,Aston Villa,DF,2
Fabian Schär,chSUI,Newcastle Utd,DF,2
Fabio Carvalho,ptPOR,Brentford,"FW,MF",1
Facundo Buonanotte,arARG,Leicester City,"FW,MF",0
Ferdi Kadioglu,trTUR,Brighton,"DF,MF",1
Filip Jørgensen,dkDEN,Chelsea,GK,1
Flynn Downes,engENG,Southampton,MF,2
Fraser Forster,engENG,Tottenham,GK,1
Gabriel Jesus,brBRA,Arsenal,FW,1
Gabriel Magalhães,brBRA,Arsenal,DF,2
Gabriel Martinelli,brBRA,Arsenal,"FW,MF",0
George Hirst,sctSCO,Ipswich Town,FW,1
Georginio Rutter,frFRA,Brighton,"MF,FW",0
Gonçalo Guedes,ptPOR,Wolves,"MF,FW",1
Guglielmo Vicario,itITA,Tottenham,GK,1
Guido Rodríguez,arARG,West Ham,MF,1
Hamza Choudhury,bdBAN,Leicester City,"MF,DF",1
Harrison Reed,engENG,Fulham,MF,1
Harry Amass,engENG,Manchester Utd,DF,1
Harry Clarke,engENG,Ipswich Town,DF,1
Harry Maguire,engENG,Manchester Utd,DF,1
Harry Toffolo,engENG,Nott'ham Forest,DF,1
Harry Wilson,wlsWAL,Fulham,"FW,MF",1
Harry Winks,engENG,Leicester City,MF,2
Harvey Barnes,engENG,Newcastle Utd,FW,0
Harvey Elliott,engENG,Liverpool,"MF,FW",1
Hwang Hee-chan,krKOR,Wolves,"MF,FW",1
Hákon Rafn Valdimarsson,isISL,Brentford,GK,1
Ian Maatsen,nlNED,Aston Villa,DF,1
Ibrahim Sangaré,ciCIV,Nott'ham Forest,MF,1
Ibrahima Konaté,frFRA,Liverpool,DF,2
Idrissa Gana Gueye,snSEN,Everton,MF,2
Igor,brBRA,Brighton,DF,1
Iliman Ndiaye,snSEN,Everton,FW,0
Illia Zabarnyi,uaUKR,Bournemouth,DF,2
Ismaila Sarr,snSEN,Crystal Palace,"MF,FW",0
Issa Diop,frFRA,Fulham,DF,1
Jack Clarke,engENG,Ipswich Town,"FW,MF",1
Jack Grealish,engENG,Manchester City,"FW,MF",1
Jack Harrison,engENG,Everton,FW,0
Jack Hinshelwood,engENG,Brighton,"DF,MF",1
Jack Stephens,engENG,Southampton,DF,1
Jack Taylor,ieIRL,Ipswich Town,MF,1
Jacob Greaves,engENG,Ipswich Town,DF,2
Jacob Murphy,engENG,Newcastle Utd,FW,0
Jacob Ramsey,engENG,Aston Villa,"FW,MF",0
Jaden Philogene Bidace,engENG,Ipswich Town,"FW,DF",1
Jadon Sancho,engENG,Chelsea,FW,0
Jahmai Simpson-Pusey,engENG,Manchester City,DF,1
Jake O'Brien,ieIRL,Everton,DF,1
Jakub Kiwior,plPOL,Arsenal,DF,1
Jakub Stolarczyk,plPOL,Leicester City,GK,1
James Bree,engENG,Southampton,DF,1
James Garner,engENG,Everton,"MF,DF",1
James Hill,engENG,Bournemouth,DF,1
James Justin,engENG,Leicester City,DF,2
James Maddison,engENG,Tottenham,MF,0
James Mcatee,engENG,Manchester City,"MF,FW",1
James Milner,engENG,Brighton,MF,1
James Tarkowski,engENG,Everton,DF,2
James Ward-Prowse,engENG,Nott'ham Forest,MF,1
Jamie Vardy,engENG,Leicester City,FW,0
Jan Bednarek,plPOL,Southampton,DF,2
Jan Paul van Hecke,nlNED,Brighton,DF,2
Jannik Vestergaard,dkDEN,Leicester City,DF,1
Jarell Quansah,engENG,Liverpool,DF,1
Jarrad Branthwaite,engENG,Everton,DF,2
Jarrod Bowen,engENG,West Ham,"FW,MF",0
Jason Steele,engENG,Brighton,GK,1
Jean-Clair Todibo,frFRA,West Ham,DF,1
Jean-Philippe Mateta,frFRA,Crystal Palace,FW,0
Jean-Ricner Bellegarde,frFRA,Wolves,"MF,FW",0
Jefferson Lerma,coCOL,Crystal Palace,"MF,DF",2
Jeffrey Schlupp,ghGHA,Crystal Palace,"MF,DF",1
Jens Cajuste,seSWE,Ipswich Town,MF,2
Jeremy Doku,beBEL,Manchester City,"FW,MF",0
Jesper Lindstrøm,dkDEN,Everton,FW,1
Joachim Andersen,dkDEN,Fulham,DF,1
Joe Aribo,ngNGA,Southampton,"MF,DF",2
Joe Gomez,engENG,Liverpool,DF,1
Joe Lumley,engENG,Southampton,GK,1
Joe Willock,engENG,Newcastle Utd,"MF,FW",1
Joelinton,brBRA,Newcastle Utd,"MF,FW",2
John McGinn,sctSCO,Aston Villa,"MF,FW",2
John Stones,engENG,Manchester City,"DF,MF",1
Jonny Evans,nirNIR,Manchester Utd,DF,1
Jordan Ayew,ghGHA,Leicester City,"FW,MF",1
Jordan Pickford,engENG,Everton,GK,1
Jorge Cuenca,esESP,Fulham,DF,1
Jorginho,itITA,Arsenal,MF,1
Joshua Acheampong,engENG,Chelsea,DF,1
Joshua Zirkzee,nlNED,Manchester Utd,"FW,MF",1
José Sá,ptPOR,Wolves,GK,1
Jota Silva,ptPOR,Nott'ham Forest,"FW,MF",1
João Félix,ptPOR,Chelsea,"FW,MF",1
João Gomes,brBRA,Wolves,MF,2
João Pedro,brBRA,Brighton,"FW,MF",0
Joël Veltman,nlNED,Brighton,DF,2
Joško Gvardiol,hrCRO,Manchester City,DF,2
Julian Araujo,mxMEX,Bournemouth,DF,1
Julio Enciso,pyPAR,Brighton,"MF,FW",1
Jurriën Timber,nlNED,Arsenal,DF,2
Justin Devenny,nirNIR,Crystal Palace,MF,1
Justin Kluivert,nlNED,Bournemouth,"MF,FW",0
Jáder Durán,coCOL,Aston Villa,FW,1
Jørgen Strand Larsen,noNOR,Wolves,FW,0
Kai Havertz,deGER,Arsenal,"FW,MF",0
Kalvin Phillips,engENG,Ipswich Town,MF,1
Kamaldeen Sulemana,ghGHA,Southampton,"FW,MF",1
Kaoru Mitoma,jpJPN,Brighton,"FW,MF",0
Kasey McAteer,ieIRL,Leicester City,"FW,MF",1
Keane Lewis-Potter,engENG,Brentford,"DF,FW",0
Kenny Tete,nlNED,Fulham,DF,2
Kepa Arrizabalaga,esESP,Bournemouth,GK,1
Kevin Danso,atAUT,Tottenham,DF,1
Kevin De Bruyne,beBEL,Manchester City,"MF,FW",0
Kevin Schade,deGER,Brentford,FW,0
Kieran Tierney,sctSCO,Arsenal,"DF,FW",1
Kieran Trippier,engENG,Newcastle Utd,DF,2
Kiernan Dewsbury-Hall,engENG,Chelsea,"MF,FW",1
Kobbie Mainoo,engENG,Manchester Utd,MF,2
Konstantinos Mavropanos,grGRE,West Ham,DF,2
Kosta Nedeljković,rsSRB,Aston Villa,DF,1
Kostas Tsimikas,grGRE,Liverpool,DF,1
Kristoffer Ajer,noNOR,Brentford,DF,1
Kyle Walker,engENG,Manchester City,DF,1
Kyle Walker-Peters,engENG,Southampton,DF,2
Lamare Bogarde,nlNED,Aston Villa,"DF,MF",1
Leandro Trossard,beBEL,Arsenal,FW,0
Leif Davis,engENG,Ipswich Town,DF,2
Leny Yoro,frFRA,Manchester Utd,DF,1
Leon Bailey,jmJAM,Aston Villa,"FW,MF",1
Lesley Ugochukwu,frFRA,Southampton,MF,1
Levi Colwill,engENG,Chelsea,DF,2
Lewis Cook,engENG,Bournemouth,"MF,DF",2
Lewis Dunk,engENG,Brighton,DF,2
Lewis Hall,engENG,Newcastle Utd,DF,2
Lewis Miley,engENG,Newcastle Utd,MF,1
Liam Delap,engENG,Ipswich Town,FW,0
Lisandro Martínez,arARG,Manchester Utd,DF,2
Lloyd Kelly,engENG,Newcastle Utd,DF,1
Lucas Bergvall,seSWE,Tottenham,MF,1
Lucas Digne,frFRA,Aston Villa,DF,2
Lucas Paquetá,brBRA,West Ham,"MF,FW",2
Luis Díaz,coCOL,Liverpool,FW,0
Luis Guilherme,brBRA,West Ham,"MF,FW",1
Luis Sinisterra,coCOL,Bournemouth,"FW,MF",1
Luke Shaw,engENG,Manchester Utd,DF,1
Luke Thomas,engENG,Leicester City,DF,1
Luke Woolfenden,engENG,Ipswich Town,DF,1
Mads Hermansen,dkDEN,Leicester City,GK,1
Mads Roerslev,dkDEN,Brentford,DF,1
Malo Gusto,frFRA,Chelsea,DF,2
Manuel Akanji,chSUI,Manchester City,DF,2
Manuel Ugarte Ribeiro,uyURU,Manchester Utd,MF,2
Marc Cucurella,esESP,Chelsea,DF,2
Marc Guéhi,engENG,Crystal Palace,DF,2
Marco Asensio,esESP,Aston Villa,"MF,FW",1
Marcos Senesi,arARG,Bournemouth,DF,1
Marcus Rashford,engENG,Aston Villa,FW,1
Marcus Tavernier,engENG,Bournemouth,"FW,MF",0
Mario Lemina,gaGAB,Wolves,"MF,DF",1
Mark Flekken,nlNED,Brentford,GK,1
Mark Travers,ieIRL,Bournemouth,GK,1
Marshall Munetsi,zwZIM,Wolves,"MF,FW",1
Martin Dúbravka,skSVK,Newcastle Utd,GK,1
Martin Ødegaard,noNOR,Arsenal,MF,0
Mason Mount,engENG,Manchester Utd,"MF,FW",1
Massimo Luongo,auAUS,Ipswich Town,MF,1
Mateo Kovačić,hrCRO,Manchester City,MF,2
Mateus Fernandes,ptPOR,Southampton,MF,2
Matheus Cunha,brBRA,Wolves,"MF,FW",0
Matheus Nunes,ptPOR,Manchester City,"DF,MF",0
Mathias Jensen,dkDEN,Brentford,MF,1
Mathys Tel,frFRA,Tottenham,FW,1
Mats Wieffer,nlNED,Brighton,"MF,DF",1
Matt Doherty,ieIRL,Wolves,DF,2
Matt O'Riley,dkDEN,Brighton,MF,1
Matthijs de Ligt,nlNED,Manchester Utd,DF,2
Matty Cash,plPOL,Aston Villa,DF,2
Matz Sels,beBEL,Nott'ham Forest,GK,1
Max Kilman,engENG,West Ham,DF,2
Maxence Lacroix,frFRA,Crystal Palace,DF,2
Michael Kayode,itITA,Brentford,DF,1
Michael Keane,engENG,Everton,DF,1
Michail Antonio,jmJAM,West Ham,FW,1
Micky van de Ven,nlNED,Tottenham,DF,1
Miguel Almirón,pyPAR,Newcastle Utd,FW,1
Mikel Merino,esESP,Arsenal,"MF,FW",0
Mikey Moore,engENG,Tottenham,"FW,MF",1
Mikkel Damsgaard,dkDEN,Brentford,"MF,FW",0
Milos Kerkez,huHUN,Bournemouth,DF,2
Mohamed Salah,egEGY,Liverpool,FW,0
Mohammed Kudus,ghGHA,West Ham,"FW,MF",0
Moisés Caicedo,ecECU,Chelsea,MF,2
Morato,brBRA,Nott'ham Forest,DF,1
Morgan Gibbs-White,engENG,Nott'ham Forest,MF,0
Morgan Rogers,engENG,Aston Villa,"FW,MF",0
Murillo,brBRA,Nott'ham Forest,DF,2
Mykhailo Mudryk,uaUKR,Chelsea,FW,1
Myles Lewis-Skelly,engENG,Arsenal,DF,1
Nathan Aké,nlNED,Manchester City,DF,1
Nathan Broadhead,wlsWAL,Ipswich Town,"MF,FW",1
Nathan Collins,ieIRL,Brentford,DF,2
Nathan Patterson,sctSCO,Everton,DF,1
Nathan Wood-Gordon,engENG,Southampton,DF,1
Nathaniel Clyne,engENG,Crystal Palace,"DF,MF",1
Neco Williams,wlsWAL,Nott'ham Forest,DF,2
Neto,brBRA,Bournemouth,GK,1
Nick Pope,engENG,Newcastle Utd,GK,1
Niclas Füllkrug,deGER,West Ham,FW,1
Nico O’Reilly,engENG,Manchester City,DF,1
Nicolas Jackson,snSEN,Chelsea,FW,0
Nicolás Domínguez,arARG,Nott'ham Forest,"MF,FW",2
Nicolás González,esESP,Manchester City,MF,1
Nikola Milenković,rsSRB,Nott'ham Forest,DF,2
Noni Madueke,engENG,Chelsea,FW,0
Noussair Mazraoui,maMAR,Manchester Utd,DF,2
Nélson Semedo,ptPOR,Wolves,DF,2
Ola Aina,ngNGA,Nott'ham Forest,DF,2
Oleksandr Zinchenko,uaUKR,Arsenal,"DF,MF",1
Oliver Scarles,engENG,West Ham,DF,1
Oliver Skipp,engENG,Leicester City,MF,1
Ollie Watkins,engENG,Aston Villa,FW,0
Omar Marmoush,egEGY,Manchester City,"FW,MF",1
Omari Hutchinson,engENG,Ipswich Town,"MF,FW",0
Orel Mangala,beBEL,Everton,MF,1
Pablo Sarabia,esESP,Wolves,"MF,FW",1
Pape Matar Sarr,snSEN,Tottenham,MF,2
Patrick Dorgu,dkDEN,Manchester Utd,DF,1
Patson Daka,zmZAM,Leicester City,"FW,MF",1
Pau Torres,esESP,Aston Villa,DF,1
Paul Onuachu,ngNGA,Southampton,FW,1
Pedro Neto,ptPOR,Chelsea,FW,0
Pedro Porro,esESP,Tottenham,DF,2
Pervis Estupiñán,ecECU,Brighton,DF,2
Phil Foden,engENG,Manchester City,"MF,FW",0
Philip Billing,dkDEN,Bournemouth,MF,1
Radu Drăgușin,roROU,Tottenham,DF,1
Raheem Sterling,engENG,Arsenal,"FW,MF",1
Ramón Sosa,pyPAR,Nott'ham Forest,"FW,MF",1
Rasmus Højlund,dkDEN,Manchester Utd,FW,1
Rayan Aït-Nouri,dzALG,Wolves,DF,2
Raúl Jiménez,mxMEX,Fulham,FW,0
Reece James,engENG,Chelsea,"DF,MF",1
Reiss Nelson,engENG,Fulham,FW,1
Renato Veiga,ptPOR,Chelsea,"DF,MF",1
Ricardo Pereira,ptPOR,Leicester City,DF,1
Riccardo Calafiori,itITA,Arsenal,DF,1
Richarlison,brBRA,Tottenham,FW,1
Rico Lewis,engENG,Manchester City,"DF,MF",2
Robert Sánchez,esESP,Chelsea,GK,1
Robin Olsen,seSWE,Aston Villa,GK,1
Rodrigo Bentancur,uyURU,Tottenham,MF,2
Rodrigo Gomes,ptPOR,Wolves,"DF,FW",1
Rodrigo Muniz,brBRA,Fulham,FW,1
Roméo Lavia,beBEL,Chelsea,MF,1
Ross Barkley,engENG,Aston Villa,MF,1
Ross Stewart,sctSCO,Southampton,FW,1
Ryan Christie,sctSCO,Bournemouth,MF,2
Ryan Fraser,sctSCO,Southampton,"FW,DF",1
Ryan Gravenberch,nlNED,Liverpool,MF,2
Ryan Manning,ieIRL,Southampton,"DF,MF",1
Ryan Sessegnon,engENG,Fulham,"FW,DF",1
Ryan Yates,engENG,Nott'ham Forest,MF,2
Rúben Dias,ptPOR,Manchester City,DF,2
Sam Johnstone,engENG,Wolves,GK,1
Sam Morsy,egEGY,Ipswich Town,MF,2
Sammie Szmodics,ieIRL,Ipswich Town,"FW,MF",1
Sander Berge,noNOR,Fulham,MF,2
Sandro Tonali,itITA,Newcastle Utd,MF,2
Santiago Bueno,uyURU,Wolves,DF,1
Saša Lukić,rsSRB,Fulham,MF,2
Sean Longstaff,engENG,Newcastle Utd,MF,1
Sepp van den Berg,nlNED,Brentford,DF,2
Sergio Reguilón,esESP,Tottenham,DF,1
Simon Adingra,ciCIV,Brighton,"FW,MF",1
Solly March,engENG,Brighton,"FW,MF",1
Son Heung-min,krKOR,Tottenham,FW,0
Stefan Ortega,deGER,Manchester City,GK,1
Stephy Mavididi,engENG,Leicester City,FW,0
Sven Botman,nlNED,Newcastle Utd,DF,1
Sávio,brBRA,Manchester City,"FW,MF",0
Séamus Coleman,ieIRL,Everton,DF,1
Taiwo Awoniyi,ngNGA,Nott'ham Forest,FW,1
Tariq Lamptey,ghGHA,Brighton,DF,1
Taylor Harwood-Bellis,engENG,Southampton,DF,2
Thiago,brBRA,Brentford,FW,1
Thomas Partey,ghGHA,Arsenal,"MF,DF",2
Tim Iroegbunam,engENG,Everton,MF,1
Timo Werner,deGER,Tottenham,"FW,MF",1
Timothy Castagne,beBEL,Fulham,DF,2
Toby Collyer,engENG,Manchester Utd,MF,1
Tom Cairney,sctSCO,Fulham,MF,1
Tommy Doyle,engENG,Wolves,MF,1
Tomáš Souček,czCZE,West Ham,MF,2
Tosin Adarabioyo,engENG,Chelsea,DF,1
Toti Gomes,ptPOR,Wolves,DF,2
Trent Alexander-Arnold,engENG,Liverpool,DF,2
Trevoh Chalobah,engENG,Chelsea,DF,1
Tyler Adams,usUSA,Bournemouth,MF,2
Tyler Dibling,engENG,Southampton,"FW,MF",0
Tyrell Malacia,nlNED,Manchester Utd,DF,1
Tyrick Mitchell,engENG,Crystal Palace,DF,2
Tyrique George,engENG,Chelsea,FW,1
Tyrone Mings,engENG,Aston Villa,DF,1
Valentino Livramento,engENG,Newcastle Utd,DF,2
Victor Bernth Kristiansen,dkDEN,Leicester City,DF,2
Victor Lindelöf,seSWE,Manchester Utd,DF,1
Virgil van Dijk,nlNED,Liverpool,DF,2
Vitaliy Mykolenko,uaUKR,Everton,DF,2
Vitaly Janelt,deGER,Brentford,MF,2
Vladimír Coufal,czCZE,West Ham,DF,1
Wataru Endo,jpJPN,Liverpool,MF,1
Welington,brBRA,Southampton,"DF,MF",1
Wes Burns,wlsWAL,Ipswich Town,"FW,DF",1
Wesley Fofana,frFRA,Chelsea,DF,1
Wilfred Ndidi,ngNGA,Leicester City,MF,2
Will Hughes,engENG,Crystal Palace,MF,2
William Osula,dkDEN,Newcastle Utd,FW,1
William Saliba,frFRA,Arsenal,DF,2
William Smallbone,ieIRL,Southampton,MF,1
Willian,brBRA,Fulham,"FW,MF",1
Willy Boly,ciCIV,Nott'ham Forest,DF,1
Wilson Odobert,frFRA,Tottenham,FW,1
Wout Faes,beBEL,Leicester City,DF,2
Woyo Coulibaly,frFRA,Leicester City,DF,1
Yankuba Minteh,gmGAM,Brighton,"FW,MF",0
Yasin Ayari,seSWE,Brighton,MF,2
Yehor Yarmoliuk,uaUKR,Brentford,MF,1
Yerson Mosquera,coCOL,Wolves,DF,1
Yoane Wissa,cdCOD,Brentford,FW,0
Youri Tielemans,beBEL,Aston Villa,MF,2
Yukinari Sugawara,jpJPN,Southampton,"DF,MF",1
Yves Bissouma,mlMLI,Tottenham,MF,1
Álex Moreno,esESP,Nott'ham Forest,"DF,MF",1
İlkay Gündoğan,deGER,Manchester City,MF,2
Łukasz Fabiański,plPOL,West Ham,GK,1
